estado	email
ac	ouvidoriageral@mpac.mp.br
al	ouvidoria@mpal.mp.br
am	atendimento.ouvidoria@mpam.mp.br
ap	(indisponível)
ba	ouvidoria@mpba.mp.br
ce	ouvidoria@mpce.mp.br
df	(indisponível)
es	(indisponível)
go	ouvidoria@mpgo.mp.br
ma	ouvidoria@mpma.mp.br
mg	(indisponível)
ms	ouvidoria@mpms.mp.br
mt	ouvidoria@mpmt.mp.br 
pa	ouvidoria@mppa.mp.br
pb	(indisponível)
pe	(indisponível)
pi	ouvidoria@mppi.mp.br
pr	(indisponível)
rj	(indisponível)
rn	01pmj.natal@mprn.mp.br
ro	(indisponível)
rr	ouvidoria@mprr.mp.br
